"postcode","Country","locality","state","sa4name","Region"
"200","Australia","ANU","ACT","",""
"200","Australia","Australian National University","ACT","",""
"800","Australia","DARWIN","NT","Darwin","AU_DRW"
"801","Australia","DARWIN","NT","Darwin","AU_DRW"
"804","Australia","PARAP","NT","Darwin","AU_DRW"
"810","Australia","ALAWA","NT","Darwin","AU_DRW"
"810","Australia","BRINKIN","NT","Darwin","AU_DRW"
"810","Australia","CASUARINA","NT","Darwin","AU_DRW"
"810","Australia","COCONUT GROVE","NT","Darwin","AU_DRW"
"810","Australia","JINGILI","NT","Darwin","AU_DRW"
"810","Australia","LEE POINT","NT","Darwin","AU_DRW"
"810","Australia","LYONS","NT","Darwin","AU_DRW"
"810","Australia","MILLNER","NT","Darwin","AU_DRW"
"810","Australia","MOIL","NT","Darwin","AU_DRW"
"810","Australia","MUIRHEAD","NT","Darwin","AU_DRW"
"810","Australia","NAKARA","NT","Darwin","AU_DRW"
"810","Australia","NIGHTCLIFF","NT","Darwin","AU_DRW"
"810","Australia","RAPID CREEK","NT","Darwin","AU_DRW"
"810","Australia","TIWI","NT","Darwin","AU_DRW"
"810","Australia","WAGAMAN","NT","Darwin","AU_DRW"
"810","Australia","WANGURI","NT","Darwin","AU_DRW"
"811","Australia","CASUARINA","NT","Darwin","AU_DRW"
"812","Australia","ANULA","NT","Darwin","AU_DRW"
"812","Australia","BUFFALO CREEK","NT","Darwin","AU_DRW"
"812","Australia","HOLMES","NT","Darwin","AU_DRW"
"812","Australia","KARAMA","NT","Darwin","AU_DRW"
"812","Australia","LEANYER","NT","Darwin","AU_DRW"
"812","Australia","MALAK","NT","Darwin","AU_DRW"
"812","Australia","MARRARA","NT","Darwin","AU_DRW"
"812","Australia","NORTHLAKES","NT","Darwin","AU_DRW"
"812","Australia","SANDERSON","NT","Darwin","AU_DRW"
"812","Australia","WOODLEIGH GARDENS","NT","Darwin","AU_DRW"
"812","Australia","WULAGI","NT","Darwin","AU_DRW"
"813","Australia","SANDERSON","NT","Darwin","AU_DRW"
"814","Australia","NIGHTCLIFF","NT","Darwin","AU_DRW"
"815","Australia","CHARLES DARWIN UNIVERSITY","NT","Darwin","AU_DRW"
"820","Australia","BAGOT","NT","Darwin","AU_DRW"
"820","Australia","BAYVIEW","NT","Darwin","AU_DRW"
"820","Australia","CHARLES DARWIN","NT","Darwin","AU_DRW"
"820","Australia","COONAWARRA","NT","Darwin","AU_DRW"
"820","Australia","CULLEN BAY","NT","Darwin","AU_DRW"
"820","Australia","DARWIN DC","NT","Darwin","AU_DRW"
"820","Australia","DARWIN INTERNATIONAL AIRPORT","NT","Darwin","AU_DRW"
"820","Australia","DARWIN MC","NT","Darwin","AU_DRW"
"820","Australia","EAST POINT","NT","Darwin","AU_DRW"
"820","Australia","EATON","NT","Darwin","AU_DRW"
"820","Australia","FANNIE BAY","NT","Darwin","AU_DRW"
"820","Australia","LARRAKEYAH","NT","Darwin","AU_DRW"
"820","Australia","LUDMILLA","NT","Darwin","AU_DRW"
"820","Australia","PARAP","NT","Darwin","AU_DRW"
"820","Australia","RAAF BASE DARWIN","NT","Darwin","AU_DRW"
"820","Australia","STUART PARK","NT","Darwin","AU_DRW"
"820","Australia","THE GARDENS","NT","Darwin","AU_DRW"
"820","Australia","THE NARROWS","NT","Darwin","AU_DRW"
"820","Australia","WINNELLIE","NT","Darwin","AU_DRW"
"820","Australia","WOOLNER","NT","Darwin","AU_DRW"
"821","Australia","WINNELLIE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","ACACIA HILLS","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","ANGURUGU","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","ANINDILYAKWA","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","ANNIE RIVER","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","BATHURST ISLAND","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","BEES CREEK","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","BELYUEN","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","BLACK JUNGLE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","BLACKMORE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","BORDER STORE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","BURRUNDIE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","BYNOE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","BYNOE HARBOUR","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","CAMP CREEK","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","CHANNEL ISLAND","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","CHARLES DARWIN","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","CHARLOTTE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","CLARAVALE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","COBOURG","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","COLLETT CREEK","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","COOMALIE CREEK","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","COX PENINSULA","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","CROKER ISLAND","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","DALY RIVER","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","DARWIN MC","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","DARWIN RIVER DAM","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","DELISSAVILLE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","DOUGLAS-DALY","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","EAST ARM","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","EAST ARNHEM","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","ELRUNDIE","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","EVA VALLEY","NT","Northern Territory - Outback","AU_OTH"
"822","Australia","FINNISS VALLEY","NT","Northern Territory - Outback","AU_OTH"
